,timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind10m.direction,wind10m.speed,fecha,latitud,longitud,ciudad,seeing,transparency
0,3,3,6,none,0,16,58,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
1,6,2,6,none,0,16,56,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
2,9,4,2,none,0,23,42,pcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
3,12,7,-1,none,0,25,39,mcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
4,15,7,-1,none,0,24,37,mcloudyday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
5,18,8,-1,rain,1,21,45,lightrainday,SW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
6,21,3,-1,rain,1,18,57,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
7,24,5,2,rain,1,17,63,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,4,2
8,27,3,2,none,1,16,67,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,3
9,30,3,2,none,1,15,67,pcloudyday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,3
10,33,1,2,none,1,20,59,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,3
11,36,2,-1,rain,1,24,41,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
12,39,1,2,rain,1,24,44,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
13,42,2,6,rain,1,21,40,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
14,45,1,6,rain,1,16,54,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
15,48,1,10,rain,1,14,53,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
16,51,2,10,none,1,13,55,clearnight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
17,54,2,10,none,1,12,61,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
18,57,1,10,none,1,15,41,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
19,60,1,10,none,1,21,27,clearday,NW,4,2022-09-15,40.4165,-3.70256,Madrid,1,2
20,63,1,6,none,1,23,31,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,2,2
21,66,2,6,none,1,16,50,clearday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,5,2
22,69,2,6,none,1,14,68,clearnight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,3
23,72,6,2,none,1,14,80,mcloudynight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,4
0,3,3,6,none,0,16,58,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
